  F1: 0.10139229083408534  Precision: 0.0534524942231888  Recall: 0.983125  FPS: 35.77364745326808
  F1: 0.8977007664111963  Precision: 0.961456102783726  Recall: 0.841875  FPS: 55.81248194941717
  F1: 0.9235880398671096  Precision: 0.9858156028368794  Recall: 0.86875  FPS: 54.828478474288154
  F1: 0.936931079323797  Precision: 0.9762872628726287  Recall: 0.900625  FPS: 55.15259259498221
  F1: 0.9418680600914435  Precision: 0.9863201094391245  Recall: 0.90125  FPS: 55.54260547995485
  F1: 0.9475367882277671  Precision: 0.9705111402359109  Recall: 0.925625  FPS: 54.63270660327648
  F1: 0.9378861788617887  Precision: 0.9776271186440678  Recall: 0.90125  FPS: 55.45601687447209
  F1: 0.9452542921930677  Precision: 0.9811701412239409  Recall: 0.911875  FPS: 54.352058928531704
  F1: 0.9538657333757556  Precision: 0.9714841218405703  Recall: 0.936875  FPS: 53.992901465024794
  F1: 0.9580262736302467  Precision: 0.9829059829059829  Recall: 0.934375  FPS: 55.56185277638952
  F1: 0.958118556701031  Precision: 0.9886968085106383  Recall: 0.929375  FPS: 54.82637902858515
  F1: 0.9586405899326708  Precision: 0.9842001316655694  Recall: 0.934375  FPS: 55.08678657110728
  F1: 0.9530896150113233  Precision: 0.9879275653923542  Recall: 0.920625  FPS: 56.08782129602473
  F1: 0.9580103359173127  Precision: 0.9913101604278075  Recall: 0.926875  FPS: 55.53418999138819
  F1: 0.9473339875695126  Precision: 0.9938229238160604  Recall: 0.905  FPS: 54.83180523522904
  F1: 0.9652976758993952  Precision: 0.9837767683322518  Recall: 0.9475  FPS: 55.01547111625593
  F1: 0.95671834625323  Precision: 0.9899732620320856  Recall: 0.925625  FPS: 55.24940505814453
  F1: 0.9622762148337597  Precision: 0.9849476439790575  Recall: 0.940625  FPS: 54.438445102880856
  F1: 0.9605895546299265  Precision: 0.9855358316896778  Recall: 0.936875  FPS: 53.73884924959662
  F1: 0.9627488760436738  Precision: 0.9900924702774109  Recall: 0.936875  FPS: 53.26162134757983
  F1: 0.9661989795918368  Precision: 0.986328125  Recall: 0.946875  FPS: 54.40822801025042
  F1: 0.958736299161831  Precision: 0.9900133155792277  Recall: 0.929375  FPS: 54.84690353784486
  F1: 0.963293967443345  Precision: 0.9843444227005871  Recall: 0.943125  FPS: 54.3004632086738
  F1: 0.9569996766892984  Precision: 0.9912926992632284  Recall: 0.925  FPS: 55.0168297235007
  F1: 0.9629392971246007  Precision: 0.984967320261438  Recall: 0.941875  FPS: 54.43756285423654
  F1: 0.9601798330122029  Precision: 0.987450462351387  Recall: 0.934375  FPS: 53.91376340898403
  F1: 0.9632213062777425  Precision: 0.9774774774774775  Recall: 0.949375  FPS: 54.37498257961682
  F1: 0.9664429530201342  Precision: 0.9888816219751472  Recall: 0.945  FPS: 53.746051220144274
  F1: 0.9646834234807508  Precision: 0.9825016202203499  Recall: 0.9475  FPS: 54.73803770188213
  F1: 0.9604119729642743  Precision: 0.9900464499004645  Recall: 0.9325  FPS: 54.59342995256443
  F1: 0.9687100893997446  Precision: 0.9902088772845953  Recall: 0.948125  FPS: 54.1701924750184
  F1: 0.9669977571291253  Precision: 0.9921104536489151  Recall: 0.943125  FPS: 54.224764414095105
  F1: 0.9700409965310627  Precision: 0.9789942711648632  Recall: 0.96125  FPS: 54.00279748721763
  F1: 0.9688493324856963  Precision: 0.9857697283311773  Recall: 0.9525  FPS: 54.094275283569395
  F1: 0.965956092904868  Precision: 0.9837977965003241  Recall: 0.94875  FPS: 54.43961095848521
  F1: 0.9669841269841268  Precision: 0.9825806451612903  Recall: 0.951875  FPS: 53.775161549698254
  F1: 0.9604628736740598  Precision: 0.9887491727332892  Recall: 0.93375  FPS: 54.05607804640457
  F1: 0.9647730879086004  Precision: 0.9800128949065119  Recall: 0.95  FPS: 54.54784419542416
  F1: 0.9650127226463104  Precision: 0.9825129533678757  Recall: 0.948125  FPS: 54.133553103128364
  F1: 0.9660640659689186  Precision: 0.9806825499034127  Recall: 0.951875  FPS: 56.37976470704206
  F1: 0.9654067905188982  Precision: 0.9901445466491459  Recall: 0.941875  FPS: 54.21606044417341
  F1: 0.9662849872773537  Precision: 0.9838082901554405  Recall: 0.949375  FPS: 55.23910997428192
  F1: 0.9617240270183339  Precision: 0.9907223326706428  Recall: 0.934375  FPS: 56.45512037793744
  F1: 0.968809675366009  Precision: 0.9870298313878081  Recall: 0.95125  FPS: 54.44087861815234
  F1: 0.9652755654667092  Precision: 0.9844054580896686  Recall: 0.946875  FPS: 54.391132807891346
  F1: 0.9681528662420381  Precision: 0.987012987012987  Recall: 0.95  FPS: 56.14071407222371
  F1: 0.9669211195928753  Precision: 0.9844559585492227  Recall: 0.95  FPS: 55.551626832579664
  F1: 0.9698125198601844  Precision: 0.9864253393665159  Recall: 0.95375  FPS: 55.29032010748693
  F1: 0.967762527928503  Precision: 0.9889106327462491  Recall: 0.9475  FPS: 54.7674452159586
  F1: 0.967557251908397  Precision: 0.9851036269430051  Recall: 0.950625  FPS: 55.45461107280183
  F1: 0.9705789307181271  Precision: 0.982703395259449  Recall: 0.95875  FPS: 54.9556229040461
  F1: 0.9694656488549618  Precision: 0.9870466321243523  Recall: 0.9525  FPS: 55.34704197176371
  F1: 0.9723546234509056  Precision: 0.989010989010989  Recall: 0.95625  FPS: 56.36690682610121
  F1: 0.9716289448517691  Precision: 0.9915419648666233  Recall: 0.9525  FPS: 54.61980758222687
  F1: 0.9701965757767914  Precision: 0.9845559845559846  Recall: 0.95625  FPS: 54.980462988635125
  F1: 0.9691573926868045  Precision: 0.9864077669902913  Recall: 0.9525  FPS: 55.3117434830965
  F1: 0.9701207883026064  Precision: 0.9870633893919794  Recall: 0.95375  FPS: 55.00400116144364
  F1: 0.9615877080665813  Precision: 0.9855643044619422  Recall: 0.93875  FPS: 54.75509865655818
  F1: 0.9690984389933099  Precision: 0.9883040935672515  Recall: 0.950625  FPS: 54.118356137178054
  F1: 0.9620578778135048  Precision: 0.990728476821192  Recall: 0.935  FPS: 56.36979308785833
  F1: 0.9692356485886457  Precision: 0.9839021249195107  Recall: 0.955  FPS: 55.248529319791224
  F1: 0.9707565162110616  Precision: 0.9877102199223803  Recall: 0.954375  FPS: 54.66014034883048
  F1: 0.9663278271918678  Precision: 0.9825581395348837  Recall: 0.950625  FPS: 54.869064133475845
  F1: 0.9678036340452661  Precision: 0.9876382563435263  Recall: 0.94875  FPS: 54.516582489378266
  F1: 0.9676601141407736  Precision: 0.9819819819819819  Recall: 0.95375  FPS: 54.383069657087084
  F1: 0.9720101781170483  Precision: 0.9896373056994818  Recall: 0.955  FPS: 54.26588048859144
  F1: 0.9689480354879595  Precision: 0.9826478149100257  Recall: 0.955625  FPS: 54.519141577872375
  F1: 0.9691573926868045  Precision: 0.9864077669902913  Recall: 0.9525  FPS: 54.71325436399847
  F1: 0.9674952198852772  Precision: 0.9869960988296489  Recall: 0.94875  FPS: 54.25352836018579
  F1: 0.9693486590038315  Precision: 0.9908616187989556  Recall: 0.94875  FPS: 55.3556141583151
  F1: 0.967885532591415  Precision: 0.9851132686084142  Recall: 0.95125  FPS: 55.5305495447178
  F1: 0.9723721816449667  Precision: 0.9883795997417689  Recall: 0.956875  FPS: 56.63328734466402
  F1: 0.9697355845810767  Precision: 0.9889538661468485  Recall: 0.95125  FPS: 55.24641262201308
  F1: 0.9717729146844275  Precision: 0.9864777849323889  Recall: 0.9575  FPS: 55.252161025358006
  F1: 0.967124162144909  Precision: 0.9882583170254403  Recall: 0.946875  FPS: 54.98664636261555
  F1: 0.9682539682539683  Precision: 0.9838709677419355  Recall: 0.953125  FPS: 54.73103451347602
  F1: 0.970290771175727  Precision: 0.981457800511509  Recall: 0.959375  FPS: 54.45207248079812
  F1: 0.970886075949367  Precision: 0.9833333333333333  Recall: 0.95875  FPS: 53.74063211759781
  F1: 0.968213604577241  Precision: 0.9851228978007762  Recall: 0.951875  FPS: 54.83565096164615
  F1: 0.9712298450837812  Precision: 0.982725527831094  Recall: 0.96  FPS: 55.9623703952605
  F1: 0.9711385981604822  Precision: 0.9858338699291693  Recall: 0.956875  FPS: 54.488876860036484
  F1: 0.9704104358892778  Precision: 0.9883344134802333  Recall: 0.953125  FPS: 54.03992005729345
  F1: 0.972027972027972  Precision: 0.9890038809831824  Recall: 0.955625  FPS: 54.090823025978295
  F1: 0.9702343255224826  Precision: 0.9833119383825417  Recall: 0.9575  FPS: 55.067181074087564
  F1: 0.9700827498408656  Precision: 0.9883268482490273  Recall: 0.9525  FPS: 54.529943700938794
  F1: 0.9696  Precision: 0.9934426229508196  Recall: 0.946875  FPS: 55.06479341840751
  F1: 0.9692898272552782  Precision: 0.9927916120576671  Recall: 0.946875  FPS: 55.30635168552417
  F1: 0.9734177215189873  Precision: 0.985897435897436  Recall: 0.96125  FPS: 56.65462657757313
  F1: 0.9711202792764202  Precision: 0.9864603481624759  Recall: 0.95625  FPS: 55.872446561825015
  F1: 0.9729557747375119  Precision: 0.9909267660401815  Recall: 0.955625  FPS: 54.93077072343628
  F1: 0.970044614404079  Precision: 0.9895968790637191  Recall: 0.95125  FPS: 55.246593575624935
  F1: 0.9703727301688436  Precision: 0.9896036387264457  Recall: 0.951875  FPS: 53.04238905231831
  F1: 0.9716289448517691  Precision: 0.9915419648666233  Recall: 0.9525  FPS: 53.45350593602297
  F1: 0.9693682195277601  Precision: 0.9902216427640157  Recall: 0.949375  FPS: 53.63114273424721
  F1: 0.9707192870782941  Precision: 0.9889753566796369  Recall: 0.953125  FPS: 52.86567177899452
  F1: 0.9685897435897436  Precision: 0.9940789473684211  Recall: 0.944375  FPS: 54.073469818825494
  F1: 0.9723194400254535  Precision: 0.9902786779001944  Recall: 0.955  FPS: 53.35489876279203
  F1: 0.9701776649746193  Precision: 0.9851804123711341  Recall: 0.955625  FPS: 53.54779040729927
  F1: 0.9720812182741116  Precision: 0.9871134020618557  Recall: 0.9575  FPS: 53.339956244058456
  F1: 0.9708121827411168  Precision: 0.9858247422680413  Recall: 0.95625  FPS: 52.928932095486765
  F1: 0.9727330374128091  Precision: 0.9871299871299871  Recall: 0.95875  FPS: 53.2352078152387
  F1: 0.9720101781170483  Precision: 0.9896373056994818  Recall: 0.955  FPS: 55.84514736671268
  F1: 0.9662921348314608  Precision: 0.9933993399339934  Recall: 0.940625  FPS: 54.35103814837197
  F1: 0.9709913930506854  Precision: 0.9908913467794405  Recall: 0.951875  FPS: 53.899164722019634
  F1: 0.9707750952986023  Precision: 0.9870801033591732  Recall: 0.955  FPS: 53.42488834447175
  F1: 0.9658037711728986  Precision: 0.9882275997383911  Recall: 0.944375  FPS: 54.855640028416495
  F1: 0.9698125198601844  Precision: 0.9864253393665159  Recall: 0.95375  FPS: 54.86898278447571
  F1: 0.9726810673443458  Precision: 0.9890180878552972  Recall: 0.956875  FPS: 53.943155186064246
  F1: 0.9658474305777212  Precision: 0.9869536855838226  Recall: 0.945625  FPS: 54.117724434370345
  F1: 0.9714285714285715  Precision: 0.9870967741935484  Recall: 0.95625  FPS: 53.43800749846278
  F1: 0.9714648065948003  Precision: 0.9858429858429858  Recall: 0.9575  FPS: 53.42514466690325
  F1: 0.9705416534684828  Precision: 0.9839434810533076  Recall: 0.9575  FPS: 53.907452214370224
  F1: 0.9735182849936947  Precision: 0.9821882951653944  Recall: 0.965  FPS: 53.839720576784856
  F1: 0.9700636942675159  Precision: 0.9889610389610389  Recall: 0.951875  FPS: 53.43569458187315
  F1: 0.9689480354879595  Precision: 0.9826478149100257  Recall: 0.955625  FPS: 54.602227088670645
  F1: 0.9695238095238095  Precision: 0.9851612903225806  Recall: 0.954375  FPS: 54.55813016693994
  F1: 0.9694462126034373  Precision: 0.9876783398184177  Recall: 0.951875  FPS: 53.23711914388123
  F1: 0.9725940089228808  Precision: 0.9921976592977894  Recall: 0.95375  FPS: 54.050260986021115
  F1: 0.96844118584635  Precision: 0.9882888744307091  Recall: 0.949375  FPS: 52.980393891920386
  F1: 0.9700827498408656  Precision: 0.9883268482490273  Recall: 0.9525  FPS: 53.48878911688903
  F1: 0.968299711815562  Precision: 0.9927774130006566  Recall: 0.945  FPS: 53.69766691970139
